dataset,series,method,replicate,target_false_alarm_rate,threshold,precision,recall,f1,false_alarm_rate,n_alarms,calibrated_threshold
mgab,1,esn_residual,1,0.38095238095238093,0.018063630966409505,0.051806961791441876,0.43703241895261846,0.09263296993723158,0.3782875339073004,13531,0.02758430747092433
mgab,1,esn_residual,1,0.42857142857142855,0.017566748303252666,0.049862041781631845,0.47319201995012466,0.09021752050398192,0.4264359004599599,15222,0.02758430747092433
mgab,1,esn_residual,1,0.47619047619047616,0.017085087261975218,0.049426510582949036,0.5211970074812967,0.09029052813478779,0.4740535440500059,16914,0.02758430747092433
mgab,1,esn_residual,1,0.5238095238095238,0.016631652632895566,0.04832034399355012,0.5604738154613467,0.08897026077490226,0.522054487557495,18605,0.02758430747092433
mgab,1,esn_residual,1,0.5714285714285714,0.016177381191610607,0.047445435286002854,0.6003740648379052,0.08794118990000456,0.5700554310649841,20297,0.02758430747092433
mgab,1,esn_residual,1,0.6190476190476191,0.015718538977935737,0.04698017100236493,0.6440149625935162,0.08757205832485587,0.6178499823092346,21988,0.02758430747092433
mgab,1,esn_residual,1,0.6666666666666666,0.015214247155327598,0.04700168918918919,0.6938902743142145,0.08803986710963456,0.6653791720721783,23680,0.02758430747092433
mgab,1,esn_residual,1,0.7142857142857143,0.014717245661643119,0.04682511528910961,0.7406483790523691,0.08808155699721965,0.7130263002712584,25371,0.02758430747092433
mgab,1,esn_residual,1,0.7619047619047619,0.01416739555943991,0.046818416968442834,0.7899002493765586,0.08839740459080443,0.7605554900342022,27062,0.02758430747092433
mgab,1,esn_residual,1,0.8095238095238095,0.013558090523204669,0.04653265632607637,0.8341645885286783,0.08814809934778312,0.8083500412784527,28754,0.02758430747092433
mgab,1,esn_residual,1,0.8571428571428571,0.012853578217402628,0.046083100673345374,0.8746882793017456,0.08755343380448687,0.8562920155678736,30445,0.02758430747092433
mgab,1,esn_residual,1,0.9047619047619048,0.011992690984683918,0.045586084575411516,0.9133416458852868,0.08683797160724341,0.9043519282934308,32137,0.02758430747092433
mgab,1,esn_residual,1,0.9523809523809523,0.010720282218656507,0.04531748847108904,0.9557356608478803,0.08653194852111086,0.9522054487557495,33828,0.02758430747092433
mgab,1,esn_residual,1,1.0,0.0021987913128782566,0.045157657657657654,1.0,0.08641310203641848,1.0,35520,0.02758430747092433
mgab,1,delay_line_residual,1,0.047619047619047616,0.054184393002799425,0.04376108811354228,0.046134663341645885,0.044916540212443096,0.047676612808114166,1691,0.06045468059123493
mgab,1,delay_line_residual,1,0.09523809523809523,0.050685930511122024,0.044352454169130695,0.09351620947630923,0.06016847172081829,0.09529425639816017,3382,0.06045468059123493
mgab,1,delay_line_residual,1,0.14285714285714285,0.04835488772371832,0.04808829325975562,0.15211970074812967,0.07307577118897873,0.14241066163462673,5074,0.06045468059123493
mgab,1,delay_line_residual,1,0.19047619047619047,0.04650169438366447,0.046711012564671105,0.1970074812967581,0.07551678814673199,0.19014624366080907,6765,0.06045468059123493
mgab,1,delay_line_residual,1,0.23809523809523808,0.04496136820293373,0.04422371999527019,0.23316708229426433,0.07434648643276016,0.23832409482250266,8457,0.06045468059123493
mgab,1,delay_line_residual,1,0.2857142857142857,0.04357459914604078,0.043851005124162394,0.27743142144638405,0.07573179033356024,0.28608916145771907,10148,0.06045468059123493
mgab,1,delay_line_residual,1,0.3333333333333333,0.042306780694133295,0.0441722972972973,0.3260598503740648,0.07780422493305562,0.333677320438731,11840,0.06045468059123493
mgab,1,delay_line_residual,1,0.38095238095238093,0.041071283672437175,0.04345576823590274,0.36658354114713215,0.07770069375619425,0.3816192947281519,13531,0.06045468059123493
mgab,1,delay_line_residual,1,0.42857142857142855,0.03990871844666799,0.043949546708711075,0.4170822942643391,0.07951979079995244,0.42908951527302747,15222,0.06045468059123493
mgab,1,delay_line_residual,1,0.47619047619047616,0.03873429705524245,0.044874068818730045,0.47319201995012466,0.08197429528026784,0.4763238589456304,16914,0.06045468059123493
mgab,1,delay_line_residual,1,0.5238095238095238,0.03757013740036541,0.04434291857027681,0.5143391521197007,0.08164679103369785,0.5242363486260172,18605,0.06045468059123493
mgab,1,delay_line_residual,1,0.5714285714285714,0.036451437697138545,0.043602502832930976,0.5517456359102244,0.08081822747819734,0.5723552305696427,20297,0.06045468059123493
mgab,1,delay_line_residual,1,0.6190476190476191,0.035264994141755324,0.04325086410769511,0.5928927680798005,0.08062054933875891,0.6202677202500295,21988,0.06045468059123493
mgab,1,delay_line_residual,1,0.6666666666666666,0.034095716155263744,0.043538851351351354,0.6427680798004988,0.08155355165321942,0.6677969100129733,23680,0.06045468059123493
mgab,1,delay_line_residual,1,0.7142857142857143,0.032846455209238457,0.04430255015568957,0.7007481296758105,0.08333642261353105,0.7149133152494398,25371,0.06045468059123493
mgab,1,delay_line_residual,1,0.7619047619047619,0.03144217881524014,0.044194811913384084,0.7456359102244389,0.08344380101862835,0.7626488972756221,27062,0.06045468059123493
mgab,1,delay_line_residual,1,0.8095238095238095,0.03003258797107833,0.04420254573276761,0.7923940149625935,0.08373410633111535,0.8103255100837363,28754,0.06045468059123493
mgab,1,delay_line_residual,1,0.8571428571428571,0.02840919961172972,0.04414517983248481,0.8379052369077307,0.08387157165590191,0.8580316075008846,30445,0.06045468059123493
mgab,1,delay_line_residual,1,0.9047619047619048,0.02637103321757195,0.043625727354762424,0.8740648379052369,0.08310364245280223,0.9062094586625782,32137,0.06045468059123493
mgab,1,delay_line_residual,1,0.9523809523809523,0.02356220437187062,0.044105474754641126,0.9301745635910225,0.08421765635583653,0.9534143177261469,33828,0.06045468059123493
mgab,1,delay_line_residual,1,1.0,0.006504301081690755,0.045157657657657654,1.0,0.08641310203641848,1.0,35520,0.06045468059123493
mgab,1,persistence_residual,1,0.047619047619047616,0.24812638118510222,0.041986989946777055,0.0442643391521197,0.043095599393019726,0.047765066635216416,1691,0.26388069715756046
mgab,1,persistence_residual,1,0.09523809523809523,0.22783965122238214,0.04553518628030751,0.09600997506234414,0.06177296430004012,0.09517631796202382,3382,0.26388069715756046
mgab,1,persistence_residual,1,0.14285714285714285,0.20583644384930722,0.045920378399684665,0.14526184538653367,0.06978137166816412,0.14273499233400166,5074,0.26388069715756046
mgab,1,persistence_residual,1,0.19047619047619047,0.18865234359009264,0.04611973392461197,0.19451371571072318,0.07456087943601386,0.1902641820969454,6765,0.26388069715756046
mgab,1,persistence_residual,1,0.23809523809523808,0.17318275308412012,0.045406172401560835,0.23940149625935161,0.07633436040155053,0.2380292487321618,8457,0.26388069715756046
