dataset,series,method,replicate,seed_reservoir,seed_task,seed_split,seed_control,normalize,preprocessor_id,selected_alpha,auprc,auprc_random,anomaly_rate,threshold,f1_calibrated,precision_calibrated,recall_calibrated,far_test,n_evaluated,n_train,n_calibration,n_test,t0,split_offset,wall_time_s,f1_test_optimal,pa_f1_k0,pa_f1_random_k0,pa_f1_k20,pa_f1_random_k20
mgab,3,esn_residual,0,0,1,2,5,zscore,851eaf047c70,1e-08,0.16312337484501185,0.06738177590333691,0.06773648648648649,0.027463069751853197,0.14331097776208965,0.47540983606557374,0.08437240232751454,0.0067645104789515005,35520,14800,8880,35520,200,327,0.03832383290864527,0.15836371000405022,0.9555202541699761,0.7269431225923407,0.14331097776208965,0.01694316978468055
mgab,3,delay_line_residual,0,0,1,2,5,zscore,851eaf047c70,0.01,0.07208736189402806,0.06738177590333691,0.06773648648648649,0.0615315825423437,0.014476190476190476,0.0867579908675799,0.007896924355777223,0.00603974149906384,35520,14800,8880,35520,200,327,0.03786420915275812,0.1287713594734964,0.8696595098677077,0.7605500237079184,0.014476190476190476,0.008380952380952381
mgab,3,persistence_residual,0,0,1,2,5,zscore,851eaf047c70,nan,0.06923099690024827,0.06738177590333691,0.06773648648648649,0.26379736012967214,0.021022109459949256,0.0821529745042493,0.012053200332502078,0.009784381228483421,35520,14800,8880,35520,200,327,0.0381329171359539,0.12761426309179272,0.9369158878504673,0.7390002303616677,0.021022109459949256,0.01594780717651323
mgab,3,moving_statistics,0,0,1,2,5,zscore,851eaf047c70,nan,0.0704198873543723,0.06738177590333691,0.06773648648648649,3.012517081122496,0.02125320630267497,0.08978328173374613,0.012053200332502078,0.008878420003623846,35520,14800,8880,35520,200,327,0.0380390000063926,0.12688534964666176,0.8522848034006375,0.7437978205425456,0.02125320630267497,0.014657383657017225
mgab,3,random_control,0,0,1,2,5,zscore,851eaf047c70,nan,0.06738177590333691,0.06738177590333691,0.06773648648648649,0.7372847372837441,0.013323464100666172,0.060810810810810814,0.007481296758104738,0.008395240683698738,35520,14800,8880,35520,200,327,0.037987749790772796,0.1289078048929851,0.7481343283582089,0.7481343283582089,0.013323464100666172,0.013323464100666172
mgab,3,input_norm_control,0,0,1,2,5,zscore,851eaf047c70,nan,0.07003093637261087,0.06738177590333691,0.06773648648648649,1.9482052613734595,0.020180180180180182,0.07588075880758807,0.011637572734829594,0.010297759255903847,35520,14800,8880,35520,200,327,0.03766675014048815,0.1269673603042146,0.9338249563361148,0.7364554637281909,0.020180180180180182,0.016576576576576577
mgab,3,esn_residual,1,0,1,2,5,zscore,851eaf047c70,1e-08,0.1594718902530581,0.06942065107963544,0.06773648648648649,0.026829891884204926,0.13828337874659402,0.38301886792452833,0.08437240232751454,0.009874977350969379,35520,14800,8880,35520,200,564,0.03821179107762873,0.15845506313443922,0.9363689433741972,0.9062146892655367,0.13828337874659402,0.021798365122615806
mgab,3,delay_line_residual,1,0,1,2,5,zscore,851eaf047c70,1e-08,0.07206373331682232,0.06942065107963544,0.06773648648648649,0.06148810839778207,0.015232292460015232,0.09090909090909091,0.00831255195344971,0.00603974149906384,35520,14800,8880,35520,200,564,0.03802912496030331,0.12872031101963474,0.8696595098677077,0.868153279930721,0.015232292460015232,0.00913937547600914
mgab,3,persistence_residual,1,0,1,2,5,zscore,851eaf047c70,nan,0.06920693638515821,0.06942065107963544,0.06773648648648649,0.26399019990532224,0.021098581302291742,0.08454810495626822,0.012053200332502078,0.009482394153530228,35520,14800,8880,35520,200,564,0.037756500067189336,0.12761774744027302,0.9387436597737027,0.9376461418550274,0.021098581302291742,0.01673335758457621
mgab,3,moving_statistics,1,0,1,2,5,zscore,851eaf047c70,nan,0.07039898569572123,0.06942065107963544,0.06773648648648649,3.012517081122496,0.021245421245421246,0.08950617283950617,0.012053200332502078,0.008908618711119164,35520,14800,8880,35520,200,564,0.037575499853119254,0.12688534964666176,0.8521036974075649,0.941130451789556,0.021245421245421246,0.01684981684981685
mgab,3,random_control,1,0,1,2,5,zscore,851eaf047c70,nan,0.06942065107963544,0.06942065107963544,0.06773648648648649,0.7311305123128022,0.016843647015745148,0.07076923076923076,0.009559434746467166,0.009120009663586398,35520,14800,8880,35520,200,564,0.03768224990926683,0.12780666010959674,0.9409464215877983,0.9409464215877983,0.016843647015745148,0.016843647015745148
mgab,3,input_norm_control,1,0,1,2,5,zscore,851eaf047c70,nan,0.07005009549774727,0.06942065107963544,0.06773648648648649,1.9492575389358535,0.020209310718152292,0.07671232876712329,0.011637572734829594,0.01017696442592257,35520,14800,8880,35520,200,564,0.03779129218310118,0.12697071328597456,0.9345503981355603,0.9336437718277066,0.020209310718152292,0.016600505232767956
