experiment,replicate,seed_reservoir,seed_drive,seed_probe,rho,leak_rate,input_scale,sigma_u,input_amplitude,input_drive_std,n_units,density,n_steps,washout,window,n_pairs,d_initial,d_tail,converged,decay_rate_per_step,lyapunov_per_step,lyapunov_per_time,tau_1e,tau_censored,tau_integrated,wall_time_s
2C_esp_map,0,0,1,3,0.5,1.0,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.29693256181228816,1.8263261503548423e-17,1,-0.8095335972931318,-0.7756980214387336,-0.7756980214387336,0.6352103836294146,0.6352103836294146,1.006089640839319,0.3365029590204358
2C_esp_map,0,0,1,3,0.5,1.0,1.0,1.0,1.7320508075688772,1.0065476874443087,200,0.1,3000,200,200,10,0.2410506846894164,0.0,1,-0.9149201083629189,-0.9222765388809209,-0.9222765388809209,0.6309641837125631,0.6309641837125631,1.0000000000000002,0.334829542087391
2C_esp_map,0,0,1,3,0.5,1.0,1.0,2.0,3.4641016151377544,2.0130953748886173,200,0.1,3000,200,200,10,0.17689767996842973,0.0,1,-1.1219357059639539,-1.1811622569404374,-1.1811622569404374,0.6216137042539492,0.6216137042539492,1.0000000000000002,0.3367256671190262
2C_esp_map,0,0,1,3,0.6,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.38887474743371425,0.0,1,-0.5475076607300655,-0.511405892070198,-0.511405892070198,1.967566164529901,1.967566164529901,2.4990701178490444,0.33544791606254876
2C_esp_map,0,0,1,3,0.6,1.0,1.0,0.05,0.08660254037844387,0.05032738437221543,200,0.1,3000,200,200,10,0.388291653058951,3.492810187613409e-18,1,-0.5276130219511909,-0.5125249762544716,-0.5125249762544716,0.6435380904661372,0.6435380904661372,1.017741811722923,0.3330931249074638
2C_esp_map,0,0,1,3,0.6,1.0,1.0,0.1,0.17320508075688773,0.10065476874443086,200,0.1,3000,200,200,10,0.38687599692164976,6.808650719961911e-18,1,-0.540098567504319,-0.5158405741799694,-0.5158405741799694,0.6433925846921393,0.6433925846921393,1.0175196701543823,0.33332512504421175
2C_esp_map,0,0,1,3,0.6,1.0,1.0,0.2,0.34641016151377546,0.2013095374888617,200,0.1,3000,200,200,10,0.3816324520069345,1.3475965369244443e-17,1,-0.5632156281746468,-0.5285249197290162,-0.5285249197290162,0.6428689115189449,0.6428689115189449,1.0167193536626176,0.33766820817254484
2C_esp_map,0,0,1,3,0.6,1.0,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.3507437566694819,2.6424770127151125e-17,1,-0.6004473703642049,-0.5994043443376147,-0.5994043443376147,0.6406301705590107,0.6406301705590107,1.0132831891495646,0.3350793330464512
2C_esp_map,0,0,1,3,0.6,1.0,1.0,1.0,1.7320508075688772,1.0065476874443087,200,0.1,3000,200,200,10,0.2868392511989246,3.1663274816504145e-17,1,-0.7270768110183271,-0.749601924139957,-0.749601924139957,0.6353778671051312,0.6353778671051312,1.005608315463601,0.3372083331923932
2C_esp_map,0,0,1,3,0.6,1.0,1.0,2.0,3.4641016151377544,2.0130953748886173,200,0.1,3000,200,200,10,0.21126875922270222,0.0,1,-0.9119141989821494,-1.0072197903128584,-1.0072197903128584,0.6248236393942548,0.6248236393942548,1.0,0.3359473750460893
