experiment,sweep_axis,level,topology_kind,graph,replicate,n_units,n_steps,rho,leak_rate,sigma_u,state_noise,nominal_density,realized_density,in_degree_max,in_degree_std,gain_max,gain_std,mc_total,mc_effective_delay,ipc_total,ipc_linear,ipc_nonlinear,wall_time_s
3T_topology_ladder,n_units,degree_preserving,degree_preserving,0,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,13.0,2.9970652311886705,1.8611836788520477,0.389702180716417,11.275320471464997,7.327864076753144,17.498016517277264,11.25167703016596,6.246339487111305,0.6818665000610054
3T_topology_ladder,n_units,degree_preserving,degree_preserving,1,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,14.0,2.8323841547360766,1.2447377993905344,0.29421373760254615,8.082253019500614,6.832779330710919,13.206169300545064,8.05334157843134,5.152827722113724,0.6806957919616252
3T_topology_ladder,n_units,degree_preserving,degree_preserving,1,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,14.0,2.8323841547360766,1.5034232324962191,0.33876452046567673,8.072567304486315,5.085786018631442,15.366257037154059,8.06397628083525,7.302280756318808,0.6779655839782208
3T_topology_ladder,n_units,degree_preserving,degree_preserving,1,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,14.0,2.8323841547360766,1.1607102221835577,0.2313337827057163,9.816804049981178,6.786472927243427,14.890885873698405,9.794417480373312,5.096468393325093,0.67956633400172
3T_topology_ladder,n_units,degree_preserving,degree_preserving,2,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,12.0,2.5024787711387284,1.4785174795747298,0.3327370429001349,8.55996689528851,6.62525946520164,14.741095034873915,8.53397491135274,6.207120123521175,0.6847062089946121
3T_topology_ladder,n_units,degree_preserving,degree_preserving,2,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,12.0,2.5024787711387284,1.5522682390066151,0.3522948472097797,10.735588924184889,6.841986718732276,15.283215792918341,10.734733232339535,4.548482560578806,0.6851735000964254
3T_topology_ladder,n_units,degree_preserving,degree_preserving,2,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,12.0,2.5024787711387284,1.518660994846585,0.32813576627781904,10.89349839159622,7.411477201121537,17.73576483244537,10.857461803105714,6.878303029339655,0.6832097501028329
3T_topology_ladder,n_units,degree_preserving,degree_preserving,3,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,8.0,1.8607525359380812,1.2707072635133358,0.231025115010856,10.643281246782513,7.179410276483141,14.917019551823593,10.629165024751172,4.287854527072421,0.6767566250637174
3T_topology_ladder,n_units,degree_preserving,degree_preserving,3,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,8.0,1.8607525359380812,1.2696061717820848,0.22108856083471898,11.378449023215248,7.430817481848798,16.247711881281404,11.374547522484065,4.8731643587973394,0.6806043749675155
3T_topology_ladder,n_units,degree_preserving,degree_preserving,3,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,8.0,1.8607525359380812,1.3060236816813378,0.3247744293260161,10.641192723025375,6.664682741630836,16.33203516279976,10.628626640758807,5.703408522040952,0.6856187500525266
