experiment,threshold_mode,n_surrogates,surrogate_quantile,level,graph,replicate,mc_total,ipc_total,ipc_total_raw,ipc_linear,ipc_nonlinear,wall_time_s
3Th_ladder_threshold,surrogate,25,0.999,control_symmetric,2,0,12.611255336558376,31.115503944117634,32.04911301821066,12.591345755280377,18.524158188837255,0.2174789160490036
3Th_ladder_threshold,surrogate,100,0.95,control_symmetric,2,0,12.607612860496035,31.199442346106956,32.04911301821066,12.5987169574355,18.600725388671457,0.5950497910380363
3Th_ladder_threshold,surrogate,100,0.99,control_symmetric,2,0,12.596323299358867,31.132511160282746,32.04911301821066,12.591345755280377,18.541165405002367,0.5968651250004768
3Th_ladder_threshold,surrogate,100,0.999,control_symmetric,2,0,12.588382087649427,31.111188455612318,32.04911301821066,12.58265613237697,18.528532323235346,0.5961370419245213
3Th_ladder_threshold,surrogate,400,0.95,control_symmetric,2,0,12.625611297066678,31.216474276747494,32.04911301821066,12.5987169574355,18.617757319311995,2.177563917124644
3Th_ladder_threshold,surrogate,400,0.99,control_symmetric,2,0,12.592486987120967,31.14027593375918,32.04911301821066,12.591345755280377,18.548930178478805,2.170204458059743
3Th_ladder_threshold,surrogate,400,0.999,control_symmetric,2,0,12.588382087649427,31.12022095272416,32.04911301821066,12.587268966800554,18.532951985923606,2.187141166999936
3Th_ladder_threshold,none,25,0.95,control_symmetric,2,1,15.188063788228943,31.643946405982703,31.643946405982703,14.330437097003246,17.313509308979455,0.12012758292257786
3Th_ladder_threshold,surrogate,25,0.95,control_symmetric,2,1,14.56028344229129,31.00890294438096,31.643946405982703,14.294625581700314,16.714277362680647,0.2171805000398308
3Th_ladder_threshold,surrogate,25,0.99,control_symmetric,2,1,14.493118907548112,30.873411415788265,31.643946405982703,14.28047791178232,16.592933504005945,0.2166409578640014
3Th_ladder_threshold,surrogate,25,0.999,control_symmetric,2,1,14.469003253242033,30.78420523062735,31.643946405982703,14.27665798989246,16.50754724073489,0.21908708312548697
3Th_ladder_threshold,surrogate,100,0.95,control_symmetric,2,1,14.376839850583314,30.924125542940747,31.643946405982703,14.291262088005812,16.632863454934935,0.5954701250884682
3Th_ladder_threshold,surrogate,100,0.99,control_symmetric,2,1,14.33938189770026,30.75707826143634,31.643946405982703,14.27665798989246,16.48042027154388,0.5953053338453174
3Th_ladder_threshold,surrogate,100,0.999,control_symmetric,2,1,14.321327718732382,30.695189001296008,31.643946405982703,14.26860350253133,16.42658549876468,0.5993723750580102
3Th_ladder_threshold,surrogate,400,0.95,control_symmetric,2,1,14.37014039000878,30.95189085731898,31.643946405982703,14.291262088005812,16.660628769313167,2.1796385841444135
3Th_ladder_threshold,surrogate,400,0.99,control_symmetric,2,1,14.310108240964674,30.78438847248846,31.643946405982703,14.27665798989246,16.507730482596,2.1757081251125783
3Th_ladder_threshold,surrogate,400,0.999,control_symmetric,2,1,14.278321501130899,30.683052980656257,31.643946405982703,14.26860350253133,16.41444947812493,2.181078917114064
3Th_ladder_threshold,none,25,0.95,control_symmetric,3,0,13.064877085603506,31.70638483721087,31.70638483721087,12.227350206981086,19.479034630229783,0.11998416599817574
3Th_ladder_threshold,surrogate,25,0.95,control_symmetric,3,0,12.181347013706095,30.841919440632957,31.70638483721087,12.159458702287857,18.6824607383451,0.2176741659641266
3Th_ladder_threshold,surrogate,25,0.99,control_symmetric,3,0,12.15593909086512,30.77194523245158,31.70638483721087,12.155894625550737,18.616050606900842,0.21818845812231302
3Th_ladder_threshold,surrogate,25,0.999,control_symmetric,3,0,12.15593909086512,30.75186801037269,31.70638483721087,12.155894625550737,18.595973384821953,0.22079416713677347
3Th_ladder_threshold,surrogate,100,0.95,control_symmetric,3,0,12.208920387453729,30.86008151079676,31.70638483721087,12.159458702287857,18.700622808508903,0.5986254999879748
