experiment,n_units,leak_rate,method,replicate,alpha,n_lags,nrmse,nmse,rmse,mc_total,ipc_total,ipc_linear,ipc_nonlinear,nonlinear_share,wall_time_s
3C2_narma10_operating,25,0.6,esn,2,1e-10,0,0.5370725422300061,0.2884469156174017,0.056088530072647816,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,delay_line_ols,2,0.0,25,0.409134217899459,0.16739080825620198,0.04272744383676847,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,linear,3,100.0,0,1.0002585655188065,1.0005171978937406,0.10912527502712209,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,delay_line,3,1.0,30,0.3844161419734607,0.14777577020975988,0.04193867332289332,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,esn,3,1e-10,0,0.540351150670238,0.2919793660306502,0.05895072530323956,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,delay_line_ols,3,0.0,30,0.38453319346114495,0.14786577687342634,0.04195144329680427,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,linear,4,100.0,0,1.0024336655125003,1.0048732537528273,0.10932973608507367,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,delay_line,4,1e-10,30,0.3924103827275435,0.1539859084723772,0.042797967642787725,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,esn,4,1e-10,0,0.5218303671175488,0.2723069320460358,0.05691306894503663,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,delay_line_ols,4,0.0,30,0.39241038272753975,0.15398590847237423,0.042797967642787316,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,1.0,linear,0,100.0,0,1.0147244503074777,1.0296657100518127,0.11094512594233541,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,delay_line,0,10.0,30,0.3952810654349529,0.15624712069139152,0.043218144171072996,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,esn,0,0.0001,0,0.6148817667223875,0.37807958704764455,0.06722823622510504,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,delay_line_ols,0,0.0,30,0.390331493450001,0.1523586747789082,0.04267698160515203,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,linear,1,100.0,0,1.0009270988379626,1.0018550571881806,0.10795802733625796,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,delay_line,1,1e-10,30,0.3811273121985076,0.14525802810365868,0.04110764194184534,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,esn,1,1e-07,0,0.6536145911708855,0.4272120337914838,0.07049758367310102,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,delay_line_ols,1,0.0,30,0.38112731219847684,0.14525802810363522,0.04110764194184202,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,linear,2,100.0,0,1.0265367467791666,1.053777692487955,0.10720514020942726,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
